Full Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Expertise Area,Short Description,Profile Picture,Linkedin URL,Order
"Dr. Harrison Gimbel, MD, MS",dr-harrison-gimbel-md-ms,68ba97a099b528e7dfb3acce,68684afdb2c32b34342f1553,68ba97bdd4efa1b22387d2b2,false,false,Fri Sep 05 2025 07:56:45 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:05:01 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:09:33 GMT+0000 (Coordinated Universal Time),Sleep Medicine Physician,An experienced clinician with a strong commitment to expanding patient access to healthcare via telemedicine solutions.,https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68ba9e49c618dcf33ab08968_Harrison%20gimbel.jpg,https://www.linkedin.com/in/harrison-gimbel-md-ms-472025228?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,2
"Dr. Zachary Adams, MD, MBA",dr-zachary-adams-md-mba-ihtx7,68ba97a099b528e7dfb3acce,68684afdb2c32b34342f1553,68ba97e70139c232ae630e61,false,false,Fri Sep 05 2025 07:57:27 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:04:55 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:09:33 GMT+0000 (Coordinated Universal Time),Sleep Medicine Physician,Fellow of the American Academy of Sleep Medicine. A leader and trusted consultant in virtual sleep care.,https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68ba9e33897093d2bc2b6882_Zachary%20Adams.jpg,https://www.linkedin.com/in/zachary-adams-md-mba?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,1
"Kandace Desadier, APRN, FNP-BC",kandace-desadier,68ba97a099b528e7dfb3acce,68684afdb2c32b34342f1553,695ff184d867bbe49dd5f7ba,false,false,Thu Jan 08 2026 18:03:48 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:09:57 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 18:15:22 GMT+0000 (Coordinated Universal Time),Nurse practitioner,An experienced nurse practitioner focused on helping people get clear sleep answers and move into the right treatment.,https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/695ff176ae10b7070b680867_Frame%207880%20from%20Figma%20(1).png,,3
