Full Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Expertise Area,Short Description,Profile Picture,Linkedin URL,Order
"Dr. Alon Avidan, MD, MPH",dr-alon-avidan-md-mph,6869af8afdeb122a14d9f2a2,68684afdb2c32b34342f1553,6875196de2f21e0b05ac80bc,false,false,Mon Jul 14 2025 14:51:25 GMT+0000 (Coordinated Universal Time),Wed Aug 06 2025 15:05:22 GMT+0000 (Coordinated Universal Time),Wed Aug 06 2025 15:43:35 GMT+0000 (Coordinated Universal Time),Neurologist and sleep medicine specialist,Director of the UCLA Sleep Disorders Center. He has extensive clinical and academic experience in sleep disorders and has published widely on the subject.,https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68936f203d0281a17482cc83_Image.jpg,https://www.linkedin.com/in/alonavidanmd/,1
Dr. Guy Leschziner,dr-guy-leschziner,6869af8afdeb122a14d9f2a2,68684afdb2c32b34342f1553,687519dc6d324512b376d1a4,false,false,Mon Jul 14 2025 14:53:16 GMT+0000 (Coordinated Universal Time),Wed Aug 06 2025 15:05:22 GMT+0000 (Coordinated Universal Time),Wed Aug 06 2025 15:43:35 GMT+0000 (Coordinated Universal Time),Neurologist specializing in sleep disorders,"Practices at Guy’s and St Thomas’ Hospitals in London, where he leads the Sleep Disorders Centre. He is also the author of The Nocturnal Brain and other books on neurology and sleep.",https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68936f1aed050d2145d10572_Image-1.jpg,https://www.linkedin.com/in/guy-leschziner-b495868b/,3
"Dr. Meir Kryger, MD, FRCPC",dr-meir-kryger-md-frcpc,6869af8afdeb122a14d9f2a2,68684afdb2c32b34342f1553,68751a04ebdb6123b96cd373,false,false,Mon Jul 14 2025 14:53:56 GMT+0000 (Coordinated Universal Time),Wed Aug 06 2025 15:05:22 GMT+0000 (Coordinated Universal Time),Wed Aug 06 2025 15:43:35 GMT+0000 (Coordinated Universal Time),Sleep Medicine Physician,Professor of Sleep Medicine at Yale School of Medicine. A recognized pioneer in the field of sleep medicine and author of foundational books such as Principles and Practice of Sleep Medicine.,https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68936f0ed6a500a6fea177be_Image-3.jpg,https://www.linkedin.com/in/meir-kryger-4053374b/,2
Dr. Guillaume Marchand,dr-guillaume-marchand,6869af8afdeb122a14d9f2a2,68684afdb2c32b34342f1553,687519f1934d16f5829bd492,false,false,Mon Jul 14 2025 14:53:37 GMT+0000 (Coordinated Universal Time),Mon Sep 01 2025 09:47:25 GMT+0000 (Coordinated Universal Time),Mon Sep 01 2025 09:47:42 GMT+0000 (Coordinated Universal Time),Sleep specialist and Medical Innovation Director,Sleep medicine specialist and Medical Innovation Director at Hôtel Dieu (AP-HP) in Paris. He combines clinical practice with the development of innovative solutions for sleep diagnosis and treatment.,https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68b56babc25b676a8a99bf10_Guillaume.jpg,https://www.linkedin.com/in/dr-guillaume-marchand/,4
Dr. Olivier Véran,dr-olivier-veran,6869af8afdeb122a14d9f2a2,68684afdb2c32b34342f1553,68751a1f7bd2e25aebd20816,false,false,Mon Jul 14 2025 14:54:23 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 15:24:40 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 15:24:40 GMT+0000 (Coordinated Universal Time),Neurologist and politician,"Former Health Minister of France. Trained in neurology, he has a strong interest in public health policy and medical communication",https://cdn.prod.website-files.com/68684afdb2c32b34342f1554/68936f07f08d38c6220eac9d_Image-4.jpg,https://www.linkedin.com/in/alonavidanmd/,5
